item_id,title,current_sku,proposed_sku,reason,action,manual_review,duplicate_item_id,duplicate_proposed_sku
147258801076,N's Zoroark ex SR #117/100 - TAG 10 - Battle Partners - Pokemon Japanese,05.19.26,ETB-01-A-0001,date_style_batch_label,repair,False,False,False
147273209951,Brook OP15-022 Adventure On Kami's Island R English NM One Piece,05.19.26,ETB-01-A-0002,date_style_batch_label,repair,False,False,False
147275111807,Kaku Rare EB04-043 | Adventure on Kami’s Island OP-15-EB04 | One Piece,05.19.26,ETB-01-A-0003,date_style_batch_label,repair,False,False,False
147275112576,Pearl | OP15-011 | R,05.19.26,ETB-01-A-0004,date_style_batch_label,repair,False,False,False
147275206221,Perona OP15-090 Adventure on Kami's Island UC NM One Piece,05.19.26,ETB-01-A-0005,date_style_batch_label,repair,False,False,False
147275208241,Sai OP15-045 | R | Adventure on Kamis Island,05.19.26,ETB-01-A-0006,date_style_batch_label,repair,False,False,False
147285027136,Kamikoto Knife Roll Black Canva Heavy Duty- FREE SHIPPING,05.19.26,ETB-01-A-0007,date_style_batch_label,repair,False,False,False
147293513303,Flareon 136/165 Scarlet and Violet 151 Holo Rare,05.19.26,ETB-01-A-0008,date_style_batch_label,repair,False,False,False
147293569097,Moltres 146/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,ETB-01-A-0009,date_style_batch_label,repair,False,False,False
147293581218,Vileplume Rare Holofoil 045/165 SV: Scarlet & Violet 151 NM,05.19.26,ETB-01-A-0010,date_style_batch_label,repair,False,False,False
147293589270,Beedrill 015/165  Scarlet & Violet 151 Holo Rare,05.19.26,ETB-01-A-0011,date_style_batch_label,repair,False,False,False
147293591498,Gyarados 130/165 Sv: Scarlet & Violet 151 Reverse Holo,05.19.26,ETB-01-A-0012,date_style_batch_label,repair,False,False,False
147293594732,Omastar 139/165 Scarlet & Violet 151 Rare NM Pokemon,05.19.26,ETB-01-A-0013,date_style_batch_label,repair,False,False,False
147293596889,Articuno 144/165 Scarlet & Violet 151 Rare NM Pokemon,05.19.26,ETB-01-A-0014,date_style_batch_label,repair,False,False,False
147293598550,Vaporeon Rare SV: Scarlet & Violet 151 134/165 NM English Holo,05.19.26,ETB-01-A-0015,date_style_batch_label,repair,False,False,False
147293600241,Starmie 121/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,ETB-01-A-0016,date_style_batch_label,repair,False,False,False
147293602847,Pokemon Ditto 132/165 Sv: Scarlet & Violet 151 Holo,05.19.26,ETB-01-A-0017,date_style_batch_label,repair,False,False,False
147293609500,Chansey 113/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,ETB-01-A-0018,date_style_batch_label,repair,False,False,False
147293613071,Aerodactyl 142/165 Scarlet & Violet 151 Holo Rare NM Pokemon,05.19.26,ETB-01-A-0019,date_style_batch_label,repair,False,False,False
147305478040,Venomoth 049/165 Scarlet & Violet 151 Reverse Holo NM,05.19.26,ETB-01-A-0020,date_style_batch_label,repair,False,False,False
147305482659,Victreebel 071/165 Scarlet & Violet 151 Reverse Holo NM Pokemon,05.19.26,ETB-01-A-0021,date_style_batch_label,repair,False,False,False
147306694444,Master Ball 153/162 ACE SPEC NM Pokemon,05.19.26,ETB-01-A-0022,date_style_batch_label,repair,False,False,False
147317919204,Zapdos ex 192/165 Pokemon 151 Ultra Rare,05.19.26,ETB-01-A-0023,date_style_batch_label,repair,False,False,False
147320683627,Mega Gardevoir ex Holo Promo ME: Mega Evolution Promo 032 NM,05.20.26-1-003,,possible_card_specific_identifier_manual_review,manual_review,True,False,False
147323836511,Gengar 050/088 Rare Perfect Order Pokemon Reverse Holo Near Mint,,ETB-01-A-0024,missing_sku,repair,False,False,False
147323871055,Poké ball Trainer Japanese Pocket Monsters Jungle Set,,ETB-01-A-0025,missing_sku,repair,False,False,False
147328711009,Electrode 088/264 Cosmos Holo Fusion Strike,,ETB-01-A-0026,missing_sku,repair,False,False,False
147328720196,Pokémon TCG Scarlet & Violet Spiritomb #129/198 Rare Cosmos Holo Promo NM,,ETB-01-A-0027,missing_sku,repair,False,False,False
147328720903,Pokémon TCG Sableye 136/193 - Near Mint Cosmos Holo Promo - Paldea Evolved,,ETB-01-A-0028,missing_sku,repair,False,False,False
147328722206,Pokemon Obsidian Flames 136/197 Darkrai Cosmos Holo with Swirl,,ETB-01-A-0029,missing_sku,repair,False,False,False
147328750774,OGRE'S MASK 159/167 Twilight Masquerade Holo Rare Promo Pokemon Card Near Mint,,ETB-01-A-0030,missing_sku,repair,False,False,False
